Artikelnummer;Name;Einheit;Preis
1000;Versandkosten;6;14,9
1002;Eichhörnchen Sterne gold;6;2,25
1003;Squirrel Stars burnt orange;6;2,25
1004;Squirrel Bubble magenta;6;2,25
1005;Squirrel Bubble violet;6;2,25
1006;Squirrel Stars bubblegum;6;2,25
1007;Petroltanne neonorange;6;2,25
1008;Tinted Glückwünsche Gelb;6;3
1009;Stabkerze 210x21 Marmoreffekt;6;1,25
1010;Lama Grande * Amaya;6;3,25
1011;Lama Grande * Ariana;6;3,25
1012;Lama Grande * Camila;6;3,25
1013;Lama Grande * Luciana;6;3,25
1014;Lama Grande * Miren;6;3,25
1015;Lama Grande * Valeria;6;3,25
1016;Lama Mini * Huaraz;6;2,25
1017;Lama Medio * Alejandro;6;2,75
1018;Lama Medio * Alvaro;6;2,75
1019;Lama Medio * Amaru;6;2,75
1020;Stabkerze 210x21 Reisseffekt;6;1,75
1021;Lama Medio * Arturo;6;2,75
1022;Lama Medio * Cesar;6;2,75
1023;Stabkerze 210x21 Glitzereffekt;6;1,25
1024;Lama Medio * Enrique;6;2,75
1025;Private Label Marmoreffekt 2 Stabkerzen inkl. Verpackung;6;4
1026;Private Label Reisseffekt 2 Stabkerzen inkl. Verpackung;6;0,75
1027;Lama Medio * Francisco;6;2,75
1028;Lama Medio * Gabriel;6;2,75
1029;Lama Medio * Gonzalo;6;2,75
1030;Private Label Glitzereffekt 2 Stabkerzen inkl. Verpackung;6;4
1033;Lama Medio * Ignacio;6;2,75
1035;Lama Medio * Joaquin;6;2,75
1036;Lama Medio * Jose;6;2,75
1037;Dip Dye Xmas * Box;6;18
1038;Lama Medio * Luis;6;2,75
1039;Tinted Alles Liebe Gelb;6;3
1040;Stumpenkerze 1er 120/60 halbgelackt Weihnachtsgold (1106 233684);6;0
1041;Lama Medio * Octavio;6;2,75
1042;Lama Medio * Pablo;6;2,75
1043;Stumpenkerze 2er 100/50 halbgelackt Weihnachtsgold (1106 233684);6;0
1044;Stumpenkerze 3er 80/40 halbgelackt Weihnachtsgold (1106 233684);6;0
